Дата время;Код инструмента;ТФ;Период;Пункт;Шаг;%
26.04.2021 20:25:45;AGX.US;W;48;3.27;327;6.51
26.04.2021 20:25:45;ARGX.US;W;27;24.83;2483;8.38
26.04.2021 20:25:47;ANET.US;W;48;16.68;1668;5.18
26.04.2021 20:25:50;ARKF.US;W;48;3.06;306;5.69
26.04.2021 20:25:51;ARKK.US;W;48;9.77;977;7.72
26.04.2021 20:25:52;IZRL.US;W;21;2.06;206;6.37
26.04.2021 20:25:54;ARKR.US;W;48;2.19;219;11.41
26.04.2021 20:25:56;ARKW.US;W;48;10.29;1029;6.63
26.04.2021 20:25:57;ARKG.US;W;48;7.87;787;8.57
26.04.2021 20:25:59;ARKQ.US;W;48;4.68;468;5.46
26.04.2021 20:25:59;AAIC.US;W;27;0.27;27;6.52
26.04.2021 20:26:01;ARLO.US;W;48;1.04;104;15.85
26.04.2021 20:26:03;AHH.US;W;48;0.9;90;6.61
26.04.2021 20:26:04;ARR.US;W;48;0.61;61;4.98
26.04.2021 20:26:06;AWI.US;W;48;5.71;571;5.65
26.04.2021 20:26:08;AROC.US;W;48;0.76;76;8.02
26.04.2021 20:26:08;ARRY.US;W;16;5.58;558;18.79
26.04.2021 20:26:09;GYLD.US;W;48;0.63;63;4.3
26.04.2021 20:26:11;ARW.US;W;48;4.97;497;4.18
26.04.2021 20:26:13;AROW.US;W;48;1.96;196;5.69
26.04.2021 20:26:15;ARWR.US;W;48;7.43;743;9.96
26.04.2021 20:26:16;ARTW.US;W;48;0.49;49;16.33
26.04.2021 20:26:18;ARTNA.US;W;48;1.98;198;4.9
26.04.2021 20:26:20;AJG.US;W;48;4.98;498;3.64
26.04.2021 20:26:21;APAM.US;W;48;3.31;331;5.88
26.04.2021 20:26:22;ARVN.US;W;20;10.0;1000;15.11
26.04.2021 20:26:23;ASA.US;W;48;1.48;148;6.65
26.04.2021 20:26:24;ASAN.US;W;31;4.21;421;12.43
26.04.2021 20:26:25;ABG.US;W;48;12.84;1284;6.12
26.04.2021 20:26:27;ASX.US;W;48;0.41;41;4.81
26.04.2021 20:26:28;ASGN.US;W;48;5.67;567;5.3
26.04.2021 20:26:30;AHTpD.US;W;48;2.1;210;8.75
26.04.2021 20:26:31;AHT.US;W;48;1.0;100;52.91
26.04.2021 20:26:33;ASH.US;W;48;4.8;480;5.07
26.04.2021 20:26:33;ASHX.US;W;48;0.43;43;1.47
26.04.2021 20:26:35;ASML.US;W;48;28.85;2885;4.27
26.04.2021 20:26:37;AHLpC.US;W;48;0.92;92;3.36
26.04.2021 20:26:38;AZPN.US;W;48;9.28;928;6.09
26.04.2021 20:26:40;ASMB.US;W;48;1.8;180;41.67
26.04.2021 20:26:41;ASB.US;W;48;1.33;133;6.16
26.04.2021 20:26:43;AIZ.US;W;48;6.76;676;4.33
26.04.2021 20:26:45;AGO.US;W;48;2.62;262;5.35
26.04.2021 20:26:47;ASTE.US;W;48;4.99;499;6.31
26.04.2021 20:26:47;AZN.US;W;48;2.76;276;5.27
26.04.2021 20:26:51;ATRO.US;W;48;1.76;176;10.12
26.04.2021 20:26:53;ALOT.US;W;48;1.1;110;6.11
26.04.2021 20:26:54;ASUR.US;W;48;0.76;76;9.27
26.04.2021 20:26:56;HOME.US;W;48;3.45;345;10.82
26.04.2021 20:27:00;T.US;W;48;1.26;126;4.07
26.04.2021 20:27:03;ATRA.US;W;48;2.36;236;16.28
26.04.2021 20:27:03;AVIR.US;W;18;11.86;1186;32.56
26.04.2021 20:27:05;ATH.US;W;48;3.29;329;5.62
26.04.2021 20:27:05;ATNX.US;W;20;1.08;108;25.71
26.04.2021 20:27:07;ATHX.US;W;48;0.38;38;21.71
26.04.2021 20:27:07;ATHA.US;W;16;3.25;325;17.55
26.04.2021 20:27:09;ATKR.US;W;48;3.99;399;5.18
26.04.2021 20:27:11;AAME.US;W;48;0.86;86;20.57
26.04.2021 20:27:12;AY.US;W;48;2.91;291;7.3
26.04.2021 20:27:14;ATLC.US;W;48;3.14;314;9.92
26.04.2021 20:27:16;AAWW.US;W;48;4.68;468;6.97
26.04.2021 20:27:17;ATCO.US;W;48;0.83;83;5.88
26.04.2021 20:27:19;ATCX.US;W;48;1.12;112;10.58
26.04.2021 20:27:22;ATO.US;W;48;4.73;473;4.62
26.04.2021 20:27:23;ATNI.US;W;48;4.46;446;9.26
26.04.2021 20:27:25;ATOS.US;W;48;0.66;66;34.92
26.04.2021 20:27:27;ATRC.US;W;48;4.47;447;6.72
26.04.2021 20:27:28;ATRI.US;W;48;41.3;4130;6.19
26.04.2021 20:27:29;AUBN.US;W;48;3.28;328;9.08
26.04.2021 20:27:31;AUDC.US;W;48;3.17;317;10.23
26.04.2021 20:27:31;AUPH.US;W;26;1.51;151;11.69
26.04.2021 20:27:32;EARS.US;W;20;1.01;101;29.79
26.04.2021 20:27:33;ACB.US;W;48;2.08;208;24.36
26.04.2021 20:27:41;ADSK.US;W;48;19.45;1945;6.48
