Дата время;Код инструмента;ТФ;Период;Пункт;Шаг;%
26.04.2021 16:46:36;AMRS.US;D;25;1.59;159;10.51
26.04.2021 16:46:48;ADI.US;D;25;3.42;342;2.16
26.04.2021 16:46:50;PLAN.US;D;25;2.21;221;3.57
26.04.2021 16:46:56;ANAB.US;D;25;1.25;125;5.29
26.04.2021 16:46:58;ANDE.US;D;25;0.97;97;3.46
26.04.2021 16:47:01;ANGI.US;D;25;0.86;86;5.32
26.04.2021 16:47:03;ANGO.US;D;25;0.97;97;3.88
26.04.2021 16:47:06;AU.US;D;25;0.68;68;3.17
26.04.2021 16:47:08;BUD.US;D;25;0.87;87;1.24
26.04.2021 16:47:11;ANIP.US;D;25;1.49;149;4.55
26.04.2021 16:47:16;ANIK.US;D;25;1.69;169;4.06
26.04.2021 16:47:18;NLY.US;D;25;0.14;14;1.57
26.04.2021 16:47:21;ANPC.US;D;25;0.45;45;9.16
26.04.2021 16:47:26;ANSS.US;D;25;8.08;808;2.19
26.04.2021 16:47:27;ATEX.US;D;25;1.9;190;4.07
26.04.2021 16:47:32;AM.US;D;25;0.3;30;3.29
26.04.2021 16:47:37;AR.US;D;25;0.55;55;6.21
26.04.2021 16:47:42;ANTM.US;D;25;6.83;683;1.79
26.04.2021 16:47:44;AON.US;D;25;3.47;347;1.5
26.04.2021 16:47:52;APA.US;D;25;0.79;79;4.36
26.04.2021 16:47:53;AIRC.US;D;25;1.03;103;2.22
26.04.2021 16:47:56;AIV.US;D;25;0.19;19;2.84
26.04.2021 16:47:58;APLS.US;D;25;1.75;175;3.92
26.04.2021 16:47:59;APXT.US;D;25;0.52;52;4.74
26.04.2021 16:48:02;APHA.US;D;25;1.12;112;7.87
26.04.2021 16:48:04;APOG.US;D;25;1.27;127;3.49
26.04.2021 16:48:07;ARI.US;D;25;0.37;37;2.44
26.04.2021 16:48:09;APO.US;D;25;1.21;121;2.26
26.04.2021 16:48:11;AMEH.US;D;25;0.74;74;2.67
26.04.2021 16:48:15;AFT.US;D;25;0.09;9;0.59
26.04.2021 16:48:17;AIF.US;D;25;0.12;12;0.79
26.04.2021 16:48:18;APPF.US;D;25;4.31;431;2.91
26.04.2021 16:48:26;APPN.US;D;25;8.7;870;6.67
26.04.2021 16:48:27;APLE.US;D;25;0.42;42;2.71
26.04.2021 16:48:39;AAPL.US;D;25;2.36;236;1.75
26.04.2021 16:48:41;APDN.US;D;25;0.58;58;8.55
26.04.2021 16:48:43;AGTC.US;D;25;0.36;36;8.41
26.04.2021 16:48:46;AIT.US;D;25;2.49;249;2.57
26.04.2021 16:48:57;AMAT.US;D;25;4.61;461;3.42
26.04.2021 16:49:01;AAOI.US;D;25;0.35;35;4.19
26.04.2021 16:49:03;APLT.US;D;25;1.15;115;6.93
26.04.2021 16:49:04;APRE.US;D;25;0.31;31;6.71
26.04.2021 16:49:06;ATR.US;D;25;2.17;217;1.43
26.04.2021 16:49:08;APTV.US;D;25;4.08;408;2.79
26.04.2021 16:49:10;ARMK.US;D;25;1.05;105;2.63
26.04.2021 16:49:11;ABRpA.US;D;25;0.13;13;0.5
26.04.2021 16:49:14;ABR.US;D;25;0.41;41;2.37
26.04.2021 16:49:16;ARC.US;D;25;0.12;12;5.31
26.04.2021 16:49:19;ARCB.US;D;25;2.64;264;3.6
26.04.2021 16:49:23;MT.US;D;25;0.88;88;2.85
26.04.2021 16:49:25;ACGL.US;D;25;0.7;70;1.74
26.04.2021 16:49:27;ARCH.US;D;25;2.42;242;5.05
26.04.2021 16:49:30;ADM.US;D;25;0.95;95;1.59
26.04.2021 16:49:34;ARNC.US;D;25;1.15;115;4.08
26.04.2021 16:49:37;ARCO.US;D;25;0.14;14;2.72
26.04.2021 16:49:39;ACA.US;D;25;2.12;212;3.31
26.04.2021 16:49:41;ARCT.US;D;25;2.88;288;7.94
26.04.2021 16:49:44;RCUS.US;D;25;2.0;200;5.57
26.04.2021 16:49:45;ARQT.US;D;25;1.69;169;5.71
26.04.2021 16:49:48;ARD.US;D;25;0.81;81;2.9
26.04.2021 16:49:50;ARDX.US;D;25;0.52;52;6.21
26.04.2021 16:49:52;ASC.US;D;25;0.25;25;6.38
26.04.2021 16:49:59;ARNA.US;D;25;2.63;263;3.87
26.04.2021 16:50:01;ARCC.US;D;25;0.22;22;1.12
26.04.2021 16:50:05;ACRE.US;D;25;0.35;35;2.42
26.04.2021 16:50:08;ARDC.US;D;25;0.11;11;0.72
26.04.2021 16:50:10;AGX.US;D;25;1.53;153;2.98
26.04.2021 16:50:11;ARGX.US;D;25;8.86;886;3.02
26.04.2021 16:50:13;ANET.US;D;25;6.51;651;2.04
26.04.2021 16:50:15;ARKF.US;D;25;1.37;137;2.57
26.04.2021 16:50:17;ARKK.US;D;25;4.06;406;3.26
26.04.2021 16:50:19;IZRL.US;D;25;0.62;62;1.94
26.04.2021 16:50:22;ARKR.US;D;25;0.96;96;5.0
26.04.2021 16:50:24;ARKW.US;D;25;4.54;454;2.96
26.04.2021 16:50:26;ARKG.US;D;25;2.84;284;3.15
26.04.2021 16:50:31;ARKQ.US;D;25;1.85;185;2.17
26.04.2021 16:50:33;AAIC.US;D;25;0.12;12;2.88
26.04.2021 16:50:44;ARLO.US;D;25;0.41;41;6.33
26.04.2021 16:50:46;AHH.US;D;25;0.33;33;2.44
26.04.2021 16:50:49;ARR.US;D;25;0.2;20;1.63
26.04.2021 16:50:51;AWI.US;D;25;2.18;218;2.16
26.04.2021 16:50:53;AROC.US;D;25;0.32;32;3.45
26.04.2021 16:50:55;ARRY.US;D;25;1.6;160;5.38
26.04.2021 16:50:56;GYLD.US;D;25;0.25;25;1.72
26.04.2021 16:50:59;ARW.US;D;25;2.54;254;2.13
26.04.2021 16:51:02;AROW.US;D;25;0.91;91;2.62
26.04.2021 16:51:06;ARWR.US;D;25;3.09;309;4.28
26.04.2021 16:51:08;ARTW.US;D;25;0.2;20;7.02
26.04.2021 16:51:13;ARTNA.US;D;25;0.92;92;2.28
26.04.2021 16:51:15;AJG.US;D;25;2.04;204;1.48
26.04.2021 16:51:18;APAM.US;D;25;1.75;175;3.15
26.04.2021 16:51:19;ARVN.US;D;25;3.84;384;5.95
26.04.2021 16:51:22;ASA.US;D;25;0.43;43;1.93
26.04.2021 16:51:23;ASAN.US;D;25;1.5;150;4.54
26.04.2021 16:51:26;ABG.US;D;25;6.93;693;3.23
26.04.2021 16:51:29;ASX.US;D;25;0.18;18;2.14
26.04.2021 16:51:34;ASGN.US;D;25;2.65;265;2.47
26.04.2021 16:51:37;AHT.US;D;25;0.25;25;13.3
26.04.2021 16:51:39;ASH.US;D;25;1.67;167;1.79
26.04.2021 16:51:42;ASML.US;D;25;15.53;1553;2.32
26.04.2021 16:51:44;AHLpC.US;D;25;0.25;25;0.92
26.04.2021 16:51:47;AZPN.US;D;25;3.58;358;2.37
26.04.2021 16:51:49;ASMB.US;D;25;0.19;19;4.4
26.04.2021 16:51:52;ASB.US;D;25;0.62;62;2.85
26.04.2021 16:51:54;AIZ.US;D;25;2.24;224;1.43
26.04.2021 16:51:57;AGO.US;D;25;1.11;111;2.31
26.04.2021 16:52:00;ASTE.US;D;25;2.48;248;3.15
26.04.2021 16:52:02;AZN.US;D;25;0.62;62;1.19
26.04.2021 16:52:10;ATRO.US;D;25;0.73;73;4.23
26.04.2021 16:52:12;ALOT.US;D;25;0.73;73;4.06
26.04.2021 16:52:15;ASUR.US;D;25;0.26;26;3.21
26.04.2021 16:52:18;HOME.US;D;25;2.07;207;6.57
26.04.2021 16:52:24;T.US;D;25;0.36;36;1.15
26.04.2021 16:52:30;ATRA.US;D;25;0.72;72;4.99
26.04.2021 16:52:34;AVIR.US;D;25;4.36;436;11.71
26.04.2021 16:52:38;ATH.US;D;25;1.29;129;2.22
26.04.2021 16:52:39;ATNX.US;D;25;0.26;26;6.45
26.04.2021 16:52:42;ATHX.US;D;25;0.11;11;6.51
26.04.2021 16:52:44;ATHA.US;D;25;1.12;112;6.12
26.04.2021 16:52:47;ATKR.US;D;25;3.0;300;3.88
26.04.2021 16:52:49;AAME.US;D;25;0.47;47;11.6
26.04.2021 16:52:52;AY.US;D;25;1.48;148;3.74
26.04.2021 16:52:54;ATLC.US;D;25;2.3;230;6.56
26.04.2021 16:52:57;AAWW.US;D;25;1.91;191;2.81
